,Fauna/Flora,Grupo,Família,Espécie (Simplificado),Categoria de Ameaça,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência
1345,Fauna,Peixes Continentais,Characidae,Henochilus wheatlandii,Criticamente em Perigo (CR),CR,Mata Atlântica,"Espécies Exóticas,Outras Atividades Econômicas: energia",Não,Sim,1,Sim,MG
1346,Fauna,Peixes Continentais,Heptapteridae,Heptapterus multiradiatus,Criticamente em Perigo (CR)/Possivelmente Extinto (PEX),CR/PEX,Mata Atlântica,Poluição,Não,Sim,1,Sim,SP
1347,Fauna,Invertebrados Terrestres,Papilionidae,Heraclides himeros baia,Em Perigo (EN),EN,"Cerrado,Mata Atlântica",Agropecuária,Sim,Sim,3,Sim,"BA,PB,TO"
1348,Fauna,Invertebrados Terrestres,Papilionidae,Heraclides himeros himeros,Em Perigo (EN),EN,Mata Atlântica,"Agropecuária,Espécies Exóticas,Mudança na dinâmica das espécies nativas",Não,Não,0,Sim,"ES,RJ"
1349,Fauna,Invertebrados Terrestres,Leptophlebiidae,Hermanella amere,Em Perigo (EN),EN,Mata Atlântica,Agropecuária,Sim,Não,1,Sim,ES
1350,Fauna,Invertebrados Terrestres,Leptophlebiidae,Hermanella mazama,Em Perigo (EN),EN,Mata Atlântica,Agropecuária,Não,Não,0,Sim,ES
1351,Fauna,Invertebrados Terrestres,Leptophlebiidae,Hermanella nigra,Vulnerável (VU),VU,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades",Não,Não,0,Sim,ES
1352,Fauna,Aves,Thamnophilidae,Herpsilochmus pileatus,Vulnerável (VU),VU,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades,Turismo/Recreação",Sim,Sim,2,Sim,BA
1353,Flora,Angiospermas,Lamiaceae,Hesperozygis ringens,Vulnerável (VU),VU,Mata Atlântica,"Queimadas,Extração Direta",#N/D,Não,1,Informação não disponível,RS
1354,Fauna,Invertebrados Terrestres,Heteragrionidae,Heteragrion petienses,Em Perigo (EN),EN,"Cerrado,Mata Atlântica",Agropecuária,Sim,Não,2,Sim,"ES,MG"
1355,Flora,Angiospermas,Asteraceae,Heterocoma albida,Criticamente em Perigo (CR),CR,Cerrado,Mineração,Sim,Não,2,Sim,MG
1356,Flora,Angiospermas,Asteraceae,Heterocondylus lysimachioides,Vulnerável (VU),VU,Cerrado,"Espécies Invasoras,Queimadas, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Não,"MG,MS,SP"
1357,Fauna,Répteis,Gymnophthalmidae,Heterodactylus lundii,Vulnerável (VU),VU,"Cerrado,Mata Atlântica","Mineração,Turismo/Recreação,Poluição,Queimadas",Sim,Sim,2,Sim,MG
1358,Fauna,Répteis,Gymnophthalmidae,Heterodactylus septentrionalis,Em Perigo (EN),EN,Caatinga,Agropecuária,Não,Sim,1,Sim,BA
1359,Flora,Angiospermas,Araceae,Heteropsis flexuosa,Vulnerável (VU),VU,"Amazônia,Mata Atlântica",Extração de Não Madereiras,Sim,Não,2,Sim,"AC,AM,AP,BA,MA,MT,PA,PE,RR"
1360,Flora,Angiospermas,Malpighiaceae,Heteropterys admirabilis,Em Perigo (EN),EN,Mata Atlântica,Vazio,Sim,Não,2,Sim,ES
1361,Flora,Angiospermas,Malpighiaceae,Heteropterys aliciae,Criticamente em Perigo (CR),CR,Cerrado,"Distribuição Restrita, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Sim,BA
