,Fauna/Flora,Grupo,Família,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência
2650,Fauna,Peixes Marinhos,Myliobatidae,CR,Marinho,Caça/Pesca,Sim,Sim,2,Sim,"PR,RJ,RS,SC,SP"
2651,Fauna,Invertebrados Terrestres,Aeshnidae,EN,Cerrado,"Agropecuária,Assentamento Humano: cidades,Mineração",Não,Não,0,Sim,MG
2651,Fauna,Invertebrados Terrestres,Aeshnidae,EN,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades,Mineração",Não,Não,0,Sim,MG
2652,Fauna,Mamíferos,Cricetidae,VU,Caatinga,Agropecuária,Sim,Não,2,Sim,"BA,CE,PE"
2653,Fauna,Mamíferos,Cricetidae,EN,Cerrado,"Agropecuária,Mineração",Sim,Não,1,Sim,MG
2654,Flora,Angiospermas,Cactaceae,CR,Mata Atlântica,"Espécies Invasoras,Assentamento Humano: cidades,Turismo/Recreação,Mineração,Queimadas,Desenvolvimento e Infraestrutura,Distribuição Restrita, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Sim,3,Sim,"ES,RJ"
2655,Flora,Angiospermas,Cactaceae,EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,3,Sim,"ES,MG,RJ"
2656,Flora,Angiospermas,Cactaceae,EN,Caatinga,Perda de Habitat/Degradação (Induzida por Humanos),Não,Não,2,Informação não disponível,"BA,ES,MG,PE"
2656,Flora,Angiospermas,Cactaceae,EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Não,Não,2,Informação não disponível,"BA,ES,MG,PE"
2657,Flora,Angiospermas,Lauraceae,EN,Mata Atlântica,Assentamento Humano: cidades,Sim,Não,2,Sim,"BA,ES"
2658,Flora,Angiospermas,Lauraceae,CR,Amazônia,Assentamento Humano: cidades,Sim,Não,2,Informação não disponível,AM
2659,Flora,Angiospermas,Lauraceae,EN,Amazônia,Desenvolvimento e Infraestrutura,Sim,Não,2,Informação não disponível,AM
2660,Fauna,Invertebrados Terrestres,Formicidae,EN,Mata Atlântica,"Agropecuária,Poluição",Não,Não,0,Sim,SC
2661,Fauna,Invertebrados Terrestres,Buthidae,EN,Caatinga,"Agropecuária,Assentamento Humano: rurais,Turismo/Recreação,Poluição,Assoreamento",Não,Não,0,Sim,BA
2661,Fauna,Invertebrados Terrestres,Buthidae,EN,Cerrado,"Agropecuária,Assentamento Humano: rurais,Turismo/Recreação,Poluição,Assoreamento",Não,Não,0,Sim,BA
2662,Fauna,Aves,Thamnophilidae,EN,Caatinga,"Agropecuária,Extração Florestal,Queimadas",Sim,Sim,2,Sim,"BA,MG"
2662,Fauna,Aves,Thamnophilidae,EN,Mata Atlântica,"Agropecuária,Extração Florestal,Queimadas",Sim,Sim,2,Sim,"BA,MG"
2663,Flora,Angiospermas,Melastomataceae,VU,Cerrado,Mineração,Sim,Não,2,Sim,SP
2664,Fauna,Peixes Continentais,Doradidae,EN,Amazônia,Outras Atividades Econômicas: energia,Sim,Sim,2,Sim,"GO,MT,PA"
2664,Fauna,Peixes Continentais,Doradidae,EN,Cerrado,Outras Atividades Econômicas: energia,Sim,Sim,2,Sim,"GO,MT,PA"
2665,Flora,Briófitas,Ricciaceae,CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Não,PE
2666,Flora,Angiospermas,Rubiaceae,EN,Cerrado,"Desenvolvimento e Infraestrutura,Agropecuária",Sim,Não,2,Sim,"MG,PR,SP"
2667,Flora,Angiospermas,Asteraceae,EN,Cerrado,"Desenvolvimento e Infraestrutura,Queimadas",Sim,Sim,2,Sim,MG
