,Fauna/Flora,Grupo,Família,Sigla Categoria de Ameaça,Bioma,Principais_ameacas,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados_de_ocorrencia
30,Flora,Angiospermas,Bignoniaceae,EN,Caatinga,Agropecuária,Sim,Não,2,Sim,PI
30,Flora,Angiospermas,Bignoniaceae,EN,Caatinga,Agropecuária,Sim,Não,2,Sim,CE
30,Flora,Angiospermas,Bignoniaceae,EN,Caatinga,Agropecuária,Sim,Não,2,Sim,MG
30,Flora,Angiospermas,Bignoniaceae,EN,Caatinga,Agropecuária,Sim,Não,2,Sim,BA
31,Flora,Angiospermas,Bignoniaceae,EN,Cerrado,Queimadas,Sim,Não,2,Sim,BA
32,Flora,Angiospermas,Bignoniaceae,EN,Mata Atlântica,Queimadas,Sim,Não,2,Sim,MG
33,Flora,Angiospermas,Bignoniaceae,CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,RJ
33,Flora,Angiospermas,Bignoniaceae,CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,SP
34,Flora,Angiospermas,Euphorbiaceae,CR,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,CE
35,Flora,Pteridófitas,Pteridaceae,CR,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,BA
35,Flora,Pteridófitas,Pteridaceae,CR,Mata Atlântica,Plantação de Madereiras,Sim,Não,2,Sim,BA
36,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,Plantação de Madereiras,Sim,Não,2,Sim,BA
36,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,BA
37,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,MG
37,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,RJ
37,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,SP
37,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,Plantação de Madereiras,Sim,Não,2,Sim,MG
37,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,Plantação de Madereiras,Sim,Não,2,Sim,RJ
37,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,Plantação de Madereiras,Sim,Não,2,Sim,SP
38,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,Turismo/Recreação,Sim,Não,2,Informação não disponível,PR
38,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,Turismo/Recreação,Sim,Não,2,Informação não disponível,RJ
38,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,Turismo/Recreação,Sim,Não,2,Informação não disponível,ES
38,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,Turismo/Recreação,Sim,Não,2,Informação não disponível,MG
38,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,Agropecuária,Sim,Não,2,Informação não disponível,PR
38,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,Agropecuária,Sim,Não,2,Informação não disponível,RJ
38,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,Agropecuária,Sim,Não,2,Informação não disponível,ES
38,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,Agropecuária,Sim,Não,2,Informação não disponível,MG
